# ImageNet + OpenImages + PASCAL VOC +
# CamVid + CityScapes + Kitti +
# COCO + COCO stuff

# Format:
# pascal idx : normalized label name : R,G,B

2384:missile:32,64,48
2385:mixer:160,64,48
2386:mobile_phone:32,192,48
2387:monkey:160,192,48
2388:moss:32,64,176
2389:moths_and_butterflies:160,64,176
2390:motorbike:32,192,176
2391:motorcycle:160,192,176
2392:mountain:96,64,48
2393:mouse:224,64,48
2394:mud:96,192,48
2395:muffin:224,192,48
2396:mug:96,64,176
2397:mule:224,64,176
2398:mushroom:96,192,176
2399:musical_instrument:224,192,176
2400:musical_keyboard:32,0,112
2401:nail:160,0,112
2402:napkin:32,128,112
2403:nature:160,128,112
2404:neck_brace:32,0,240
2405:necklace:160,0,240
2406:net:32,128,240
2407:nightstand:160,128,240
2408:non_vehicle:96,0,112
2409:obj:224,0,112
2410:object:96,128,112
2411:oboe:224,128,112
2412:office_building:96,0,240
2413:office_supplies:224,0,240
2414:on_rails:96,128,240
2415:orange:224,128,240
2416:organ:32,64,112
2417:ostrich:160,64,112
2418:otter:32,192,112
2419:oven:160,192,112
2420:owl:32,64,240
2421:oyster:160,64,240
2422:paddle:32,192,240
2423:palm_tree:160,192,240
2424:pancake:96,64,112
2425:paper:224,64,112
2426:paper_towel:96,192,112
2427:parachute:224,192,112
2428:parking:96,64,240
2429:parking_meter:224,64,240
2430:parrot:96,192,240
2431:pasta:224,192,240
2432:pavement:0,32,48
2433:peach:128,32,48
2434:pear:0,160,48
2435:pedestrian:128,160,48
2436:pen:0,32,176
2437:pencil_box:128,32,176
2438:pencil_sharpener:0,160,176
2439:penguin:128,160,176
2440:perfume:64,32,48
2441:person:192,32,48
2442:personal_care:64,160,48
2443:piano:192,160,48
2444:picnic_basket:64,32,176
2445:picture_frame:192,32,176
2446:pig:64,160,176
2447:pillow:192,160,176
2448:pineapple:0,96,48
2449:ping_pong_ball:128,96,48
2450:pitcher:0,224,48
2451:pizza:128,224,48
2452:plant_other:0,96,176
2453:plastic:128,96,176
2454:plastic_bag:0,224,176
2455:plate:128,224,176
2456:plate_rack:64,96,48
2457:platform:192,96,48
2458:platter:64,224,48
2459:playingfield:192,224,48
2460:plumbing_fixture:64,96,176
2461:polar_bear:192,96,176
2462:pole:64,224,176
2463:pole_group:192,224,176
2464:pomegranate:0,32,112
2465:popcorn:128,32,112
2466:popsicle:0,160,112
2467:porch:128,160,112
2468:porcupine:0,32,240
2469:poster:128,32,240
2470:potato:0,160,240
2471:potted_plant:128,160,240
2472:pottedplant:64,32,112
2473:power_drill:192,32,112
2474:power_plugs_and_sockets:64,160,112
2475:pressure_cooker:192,160,112
2476:pretzel:64,32,240
2477:printer:192,32,240
2478:puck:64,160,240
2479:pumpkin:192,160,240
2480:punching_bag:0,96,112
2481:purse:128,96,112
2482:rabbit:0,224,112
2483:raccoon:128,224,112
2484:racket:0,96,240
2485:radish:128,96,240
2486:rail:0,224,240
2487:rail_track:128,224,240
2488:railing:64,96,112
2489:railroad:192,96,112
2490:raven:64,224,112
2491:ray:192,224,112
2492:red_panda:64,96,240
2493:refrigerator:192,96,240
2494:remote:64,224,240
2495:remote_control:192,224,240
2496:reptile:32,32,48
2497:rhinoceros:160,32,48
2498:rider:32,160,48
2499:rifle:160,160,48
2500:ring_binder:32,32,176
2501:river:160,32,176
2502:road:32,160,176
2503:rock:160,160,176
2504:rocket:96,32,48
2505:roller_skates:224,32,48
2506:roof:96,160,48
2507:rose:224,160,48
2508:rubber_eraser:96,32,176
2509:rug:224,32,176
2510:rugby_ball:96,160,176
2511:ruler:224,160,176
2512:salad:32,96,48
2513:salt_and_pepper_shakers:160,96,48
2514:salt_or_pepper_shaker:32,224,48
2515:sand:160,224,48
2516:sandal:32,96,176
2517:sandwich:160,96,176
2518:saucer:32,224,176
2519:saxophone:160,224,176
2520:scarf:96,96,48
2521:scissors:224,96,48
2522:scoreboard:96,224,48
2523:scorpion:224,224,48
2524:screwdriver:96,96,176
2525:sculpture:224,96,176
2526:sea:96,224,176
2527:sea_lion:224,224,176
2528:sea_turtle:32,32,112
2529:seafood:160,32,112
2530:seahorse:32,160,112
2531:seal:160,160,112
2532:seat_belt:32,32,240
2533:segway:160,32,240
2534:serving_tray:32,160,240
2535:sewing_machine:160,160,240
2536:shark:96,32,112
2537:sheep:224,32,112
2538:shelf:96,160,112
2539:shellfish:224,160,112
2540:shirt:96,32,240
2541:shoe:224,32,240
2542:shorts:96,160,240
2543:shotgun:224,160,240
2544:shower:32,96,112
2545:shrimp:160,96,112
2546:sidewalk:32,224,112
2547:sink:160,224,112
2548:skateboard:32,96,240
2549:ski:160,96,240
2550:skirt:32,224,240
2551:skis:160,224,240
2552:skull:96,96,112
2553:skunk:224,96,112
2554:sky:96,224,112
2555:sky_other:224,224,112
2556:skyscraper:96,96,240
2557:slow_cooker:224,96,240
2558:snail:96,224,240
2559:snake:224,224,240
2560:snow:16,0,16
2561:snowboard:144,0,16
2562:snowman:16,128,16
2563:snowmobile:144,128,16
2564:snowplow:16,0,144
2565:soap_dispenser:144,0,144
2566:soccer_ball:16,128,144
2567:sock:144,128,144
2568:sofa:80,0,16
2569:sofa_bed:208,0,16
2570:solid_other:80,128,16
2571:sombrero:208,128,16
2572:sparrow:80,0,144
2573:spatula:208,0,144
2574:spider:80,128,144
2575:spoon:208,128,144
2576:sports_ball:16,64,16
2577:sports_uniform:144,64,16
2578:squash:16,192,16
2579:squirrel:144,192,16
2580:stairs:16,64,144
2581:starfish:144,64,144
2582:start:16,192,144
2583:static:144,192,144
2584:stationary_bicycle:80,64,16
2585:stethoscope:208,64,16
2586:stone:80,192,16
2587:stool:208,192,16
2588:stop:80,64,144
2589:stop_sign:208,64,144
2590:stove:80,192,144
2591:strainer:208,192,144
2592:straw:16,0,80
2593:strawberry:144,0,80
2594:street_light:16,128,80
2595:street_sign:144,128,80
2596:stretcher:16,0,208
2597:structural_other:144,0,208
2598:studio_couch:16,128,208
2599:submarine_sandwich:144,128,208
2600:suit:80,0,80
2601:suitcase:208,0,80
2602:sun_hat:80,128,80
2603:sunflower:208,128,80
2604:sunglasses:80,0,208
2605:surfboard:208,0,208
2606:sushi:80,128,208
2607:swan:208,128,208
2608:swim_cap:16,64,80
2609:swimming_pool:144,64,80
2610:swimming_trunks:16,192,80
2611:swimwear:144,192,80
2612:swine:16,64,208
2613:sword:144,64,208
2614:syringe:16,192,208
2615:table:144,192,208
2616:table_tennis_racket:80,64,80
2617:tablet_computer:208,64,80
2618:tableware:80,192,80
2619:taco:208,192,80
2620:tank:80,64,208
2621:tap:208,64,208
2622:tape_player:80,192,208
2623:tart:208,192,208
2624:taxi:48,0,16
2625:tea:176,0,16
2626:teapot:48,128,16
2627:teddy_bear:176,128,16
2628:telephone:48,0,144
2629:television:176,0,144
2630:tennis_ball:48,128,144
2631:tennis_racket:176,128,144
2632:tent:112,0,16
2633:terrain:240,0,16
2634:textile_other:112,128,16
2635:tiara:240,128,16
2636:tick:112,0,144
2637:tie:240,0,144
2638:tiger:112,128,144
2639:tin_can:240,128,144
2640:tire:48,64,16
2641:toaster:176,64,16
2642:toilet:48,192,16
2643:toilet_paper:176,192,16
2644:tomato:48,64,144
2645:toothbrush:176,64,144
2646:torch:48,192,144
2647:tortoise:176,192,144
2648:towel:112,64,16
2649:tower:240,64,16
2650:toy:112,192,16
2651:traffic_light:240,192,16
2652:traffic_sign:112,64,144
2653:trailer:240,64,144
2654:train:112,192,144
2655:tram:240,192,144
2656:treadmill:48,0,80
2657:tree:176,0,80
2658:tripod:48,128,80
2659:trombone:176,128,80
2660:trousers:48,0,208
2661:truck:176,0,208
2662:trumpet:48,128,208
2663:tunnel:176,128,208
2664:turkey:112,0,80
2665:turtle:240,0,80
2666:tv:112,128,80
2667:tv_or_monitor:240,128,80
2668:tvmonitor:112,0,208
2669:umbrella:240,0,208
2670:undefined:112,128,208
2671:unicycle:240,128,208
2672:unlabeled:48,64,80
2673:vacuum:176,64,80
2674:van:48,192,80
2675:vase:176,192,80
2676:vegetable:48,64,208
2677:vegetation:176,64,208
2678:vehicle:48,192,208
2679:vehicle_registration_plate:176,192,208
2680:violin:112,64,80
2681:void:240,64,80
2682:volleyball:112,192,80
2683:waffle:240,192,80
2684:waffle_iron:112,64,208
2685:wall:240,64,208
2686:wall_brick:112,192,208
2687:wall_clock:240,192,208
2688:wall_concrete:16,32,16
2689:wall_other:144,32,16
2690:wall_panel:16,160,16
2691:wall_stone:144,160,16
2692:wall_tile:16,32,144
2693:wall_wood:144,32,144
2694:washer:16,160,144
2695:washing_machine:144,160,144
2696:waste_container:80,32,16
2697:watch:208,32,16
2698:water_bottle:80,160,16
2699:water_other:208,160,16
2700:watercraft:80,32,144
2701:waterdrops:208,32,144
2702:watermelon:80,160,144
2703:weapon:208,160,144
2704:whale:16,96,16
2705:wheel:144,96,16
2706:wheelchair:16,224,16
2707:whiteboard:144,224,16
2708:willow:16,96,144
2709:window:144,96,144
2710:window_blind:16,224,144
2711:window_other:144,224,144
2712:wine:80,96,16
2713:wine_bottle:208,96,16
2714:wine_glass:80,224,16
2715:winter_melon:208,224,16
2716:wok:80,96,144
2717:woman:208,96,144
2718:wood:80,224,144
2719:wood_burning_stove:208,224,144
2720:woodpecker:16,32,80
2721:wrench:144,32,80
2722:zebra:16,160,80
2723:zucchini:144,160,80
